course_code,course_title,prereq_codes,prereq_details
MUSIC 5,An Introduction to Western Music,[],[]
MUSIC 7,Evolution of Jazz,[],[]
MUSIC 8,Rudiments of Music,[],[]
MUSIC 8H,Rudiments of Music,[],[]
MUSIC 9,Introduction to World Musics,[],[]
MUSIC 11,Under the Hood: How Classical Music Works,[],[]
MUSIC 22,"Women, Gender, and Sexuality Studies in Music",[],[]
MUSIC 40,First-Year Seminar in Music,[],[]
MUSIC 50,Beginning Piano: Non-Music Major,[],[]
MUSIC 51,Intermediate Class Piano: Non-Music Major,['MUSIC 50'],[]
MUSIC 52,Voice Class: Non-Music Major,[],[]
MUSIC 54,Beginning Class Guitar: Non-Music Major,[],[]
MUSIC 76,Chamber Orchestra,[],[]
MUSIC 77,Philharmonic Orchestra,[],[]
MUSIC 78,Symphonic Wind Ensemble,[],[]
MUSIC 79,Pep Band,[],[]
MUSIC 80,Symphonic Band,[],[]
MUSIC 81,Marching Blue Band,[],[]
MUSIC 82,Concert Band,[],[]
MUSIC 83,Campus Band,[],[]
MUSIC 84,Jazz Ensemble,[],[]
MUSIC 86,Percussion Ensemble,[],[]
MUSIC 87,Mallet Ensemble,[],[]
MUSIC 88,Campus Choir,[],[]
MUSIC 89,University Choir,[],[]
MUSIC 90,Glee Club,[],[]
MUSIC 91,Oriana Singers,[],[]
MUSIC 92,Chamber Music for Voices,[],[]
MUSIC 93,Essence of Joy,[],[]
MUSIC 94,Women's Chorale,[],[]
MUSIC 98,Special Topics,[],[]
MUSIC 100,Campus Orchestra,[],[]
MUSIC 101,Music Common Hour,[],[]
MUSIC 103,Concert Choir,[],[]
MUSIC 104,Chamber Singers,[],[]
MUSIC 106,Early Music Ensemble,[],[]
MUSIC 109,The Music of the Beatles,[],[]
MUSIC 110,Keyboard Skills I: Music Major,[],[]
MUSIC 112,Guitar Techniques I,[],[]
MUSIC 113,Music Theatre--Class Voice I,[],[]
MUSIC 114,Music Theatre--Class Voice II,[],[]
MUSIC 116,Intermediate Voice Class,[],[]
MUSIC 119,First-Year Music Seminar,[],[]
MUSIC 121,Basic Musicianship I,[],[]
MUSIC 122,Basic Musicianship II,"['MUSIC 121', 'MUSIC 132']",[]
MUSIC 127,Introduction to Music Technology,[],[]
MUSIC 129S,First-Year Performance Seminar,[],[]
MUSIC 131,Music Theory I,[],[]
MUSIC 132,Music Theory II,"['MUSIC 131', 'MUSIC 122']",[]
MUSIC 151,Brass Techniques I,[],[]
MUSIC 152,Percussion Techniques I,[],[]
MUSIC 153,String Techniques I,[],[]
MUSIC 154,Woodwind Techniques I,[],[]
MUSIC 162,Introduction to Music History,['MUSIC 132'],[]
MUSIC 170,Keyboard Skills II: Music Major,[],[]
MUSIC 173,First-Year Composition Seminar,[],[]
MUSIC 174,Composition II,[],[]
MUSIC 177,ROARS lab,[],[]
MUSIC 181,Jazz Improvisation I,[],[]
MUSIC 182,Jazz Improvisation II,['MUSIC 181'],[]
MUSIC 188,Chamber Music for Mixed Ensemble,[],[]
MUSIC 189,Studio Ensemble,[],[]
MUSIC 190,Chamber Music for Strings,[],[]
MUSIC 191,Chamber Music for Woodwinds,[],[]
MUSIC 192,Chamber Music for Brass,[],[]
MUSIC 193,Sonata Duos,[],[]
MUSIC 194,Studio and Recital Accompanying,"['KEYBD 120', 'KEYBD 130']","['or', 'or']"
MUSIC 197,**SPECIAL TOPICS**,[],[]
MUSIC 199,Foreign Studies,[],[]
MUSIC 207N,Jazz and the African American Experience,['AFAM 207N'],[]
MUSIC 209N,The Music of the Beatles and American Popular Culture,['ENGL 208N'],[]
MUSIC 210,Keyboard Skills III: Music Major,[],[]
MUSIC 212,Guitar Techniques II,['MUSIC 112'],[]
MUSIC 215,The Craft of Singing,[],[]
MUSIC 221,Basic Musicianship III,['MUSIC 122'],[]
MUSIC 222,Basic Musicianship IV,['MUSIC 221'],[]
MUSIC 231,Music Theory III,['MUSIC 132'],[]
MUSIC 240,Introduction to Music Education,[],[]
MUSIC 241,Music for Classroom Teachers,[],[]
MUSIC 251A,Brass Techniques II: Trumpet,['MUSIC 151'],[]
MUSIC 251B,Brass Techniques II: Horn,['MUSIC 151'],[]
MUSIC 251C,Brass Techniques II: Trombone,['MUSIC 151'],[]
MUSIC 251D,Brass Techniques II: Euphonium/Tuba,['MUSIC 151'],[]
MUSIC 253,String Techniques II,['MUSIC 153'],[]
MUSIC 254A,Woodwind Techniques II: Flute,['MUSIC 154'],[]
MUSIC 254B,Woodwind Techniques II: Oboe,['MUSIC 154'],[]
MUSIC 254C,Woodwind Techniques II: Clarinet,['MUSIC 154'],[]
MUSIC 254D,Woodwind Techniques II: Saxophone,['MUSIC 154'],[]
MUSIC 254E,Woodwind Techniques II: Bassoon,['MUSIC 154'],[]
MUSIC 261,Survey of Music History I,"['MUSIC 131', 'MUSIC 162']",['and']
MUSIC 262,Survey of Music History II,"['MUSIC 132', 'MUSIC 162']",['and']
MUSIC 262H,Survey of Music History II,[],[]
MUSIC 266,Basic Conducting,"['MUSIC 221', 'MUSIC 231']",['and']
MUSIC 267,Techniques of Composition,['MUSIC 231'],[]
MUSIC 270,Keyboard Skills IV: Music Major,[],[]
MUSIC 273,Composition III,[],[]
MUSIC 274,Composition IV,[],[]
MUSIC 277A,ROARS lab III,[],[]
MUSIC 295A,Early Field Experience in Music Education,"['MUSIC 240', '4']",['and']
MUSIC 296,Independent Studies,[],[]
MUSIC 297,Special Topics,[],[]
MUSIC 299,Foreign Studies,[],[]
MUSIC 312,Performance of Diverse Musical Styles,[],[]
MUSIC 331,Tonal Analysis,"['MUSIC 221', 'MUSIC 231']",['and']
MUSIC 332,Analysis of Twentieth Century Music,['MUSIC 231'],[]
MUSIC 341,Instructional Materials in Music,"['MUSIC 240', 'MUSIC 295A']",['and']
MUSIC 341B,Instructional Practices in General Music,[],[]
MUSIC 345,Instructional Practices in Music,"['MUSIC 240', 'MUSIC 341', 'MUSIC 395B']",['and']
MUSIC 366,Intermediate Conducting,"['MUSIC 266', 'MUSIC 332']",['and']
MUSIC 373,Composition V,[],[]
MUSIC 374,Composition VI,[],[]
MUSIC 387,Language Diction for Singers: Italian and English,[],[]
MUSIC 388,Language Diction for Singers: French,[],[]
MUSIC 389,Language Diction for Singers: German,[],[]
MUSIC 395,**SPECIAL TOPICS**,[],[]
MUSIC 395A,Cohort Practicum I,"['MUSIC 240', 'MUSIC 341']",[]
MUSIC 395B,Cohort Practicum II,"['MUSIC 341', 'MUSIC 395A']",['and']
MUSIC 395C,Practicum in Music Teaching,[],[]
MUSIC 399,Foreign Studies,[],[]
MUSIC 400,Solo Recital,[],[]
MUSIC 404,Adv Chamber Singer,"['MUSIC 89', 'MUSIC 104']",['or']
MUSIC 412,Jazz Pedagogy,[],[]
MUSIC 414,String Pedagogy,"['STRNG 320', 'STRNG 321', 'STRNG 322', 'STRNG 323', 'STRNG 324', 'STRNG 330', 'STRNG 331', 'STRNG 332', 'STRNG 333', 'STRNG 334']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
MUSIC 415,Woodwind Pedagogy,"['WWNDS 320', 'WWNDS 321', 'WWNDS 322', 'WWNDS 323', 'WWNDS 324', 'WWNDS 330', 'WWNDS 331', 'WWNDS 332', 'WWNDS 333', 'WWNDS 334']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
MUSIC 416,Brass Pedagogy,"['BRASS 320', 'BRASS 321', 'BRASS 322', 'BRASS 323', 'BRASS 324', 'BRASS 330', 'BRASS 331', 'BRASS 332', 'BRASS 333', 'BRASS 334']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
MUSIC 417,Percussion Pedagogy,"['PERCN 320', 'PERCN 330']","['or', 'or', 'or']"
MUSIC 418,Voice Pedagogy,"['VOICE 270', 'VOICE 280']","['or', 'or']"
MUSIC 419,Piano Pedagogy I,"['KEYBD 270', 'KEYBD 280', 'MUSIC 332']","['or', 'or']"
MUSIC 420,Song Writing and Recording,"['INART 258A', 'INART 258B']",['or']
MUSIC 421,Jazz Combo Class,[],[]
MUSIC 422,Jazz Harmony and Arranging,"['MUSIC 222', 'MUSIC 332']",['and']
MUSIC 423,Music Entrepreneurship,[],[]
MUSIC 424,Piano Pedagogy II,"['KEYBD 270', 'KEYBD 280', 'MUSIC 332']","['or', 'or']"
MUSIC 425,Advanced Voice Pedagogy,['MUSIC 418'],[]
MUSIC 429,Aural Review for Graduate Students,[],[]
MUSIC 431,Advanced Tonal Analysis,['MUSIC 332'],[]
MUSIC 432,Graduate Review of Twentieth-Century Analysis,"['MUSIC 262', 'MUSIC 332']",['and']
MUSIC 433,Advanced Analysis of Twentieth-Century Music,"['MUSIC 262', 'MUSIC 332']",['and']
MUSIC 434,History of Electroacoustic Music,"['INART 258A', 'INART 258B']",['or']
MUSIC 435,Score Reading,['MUSIC 332'],[]
MUSIC 437,Music Information Retrieval and Computer-Assisted Music,[],[]
MUSIC 438,The Business of Music,[],[]
MUSIC 439,Sound Design For Game Audio,[],[]
MUSIC 441W,Emphasis in Elementary General Music,"['MUSIC 345', 'MUSIC 395B']",['and']
MUSIC 442W,Emphasis in Secondary General Music,"['MUSIC 345', 'MUSIC 395B']",['and']
MUSIC 443W,Choral Emphasis in Secondary Music Education,"['MUSIC 345', 'MUSIC 387', 'MUSIC 395B']","['and', 'and']"
MUSIC 444W,Emphasis in Elementary and Intermediate Band,"['MUSIC 395B', 'MUSIC 345']",['and']
MUSIC 445W,Emphasis in High School Band,"['MUSIC 395B', 'MUSIC 345']",['and']
MUSIC 446W,Emphasis in Strings and Orchestra,"['MUSIC 345', 'MUSIC 395B']",['and']
MUSIC 450,Teaching Marching Band,['MUSIC 345'],[]
MUSIC 451,Computer Programming for Musicians,['INART 258A'],[]
MUSIC 452,Computer Music Synthesis,['INART 258A'],[]
MUSIC 453,Recording Studio Training,[],[]
MUSIC 455,Technology in Music,['INART 258A'],[]
MUSIC 458,Electronic Music Composition I,['MUSIC 127'],[]
MUSIC 459,Electronic Music Composition II,[],[]
MUSIC 460,Teaching Musical Cultures,['MUSIC 262'],[]
MUSIC 461W,Studies in Music History: Antiquity to 1600,"['MUSIC 261', 'MUSIC 332']",['and']
MUSIC 462W,Studies in Music History: 1550-1750,"['MUSIC 261', 'MUSIC 332']",['and']
MUSIC 463W,Studies in Music History: 1700-1900,"['MUSIC 261', 'MUSIC 332']",['and']
MUSIC 464W,Studies in Music History: 1850-Present,"['MUSIC 262', 'MUSIC 332']",['and']
MUSIC 465,Advanced Conducting I,['MUSIC 366'],[]
MUSIC 466,Advanced Conducting II,['MUSIC 366'],[]
MUSIC 467,Opera Workshop,[],[]
MUSIC 468,Acting for Singers,[],[]
MUSIC 472,Eighteenth-Century Counterpoint,"['MUSIC 221', 'MUSIC 231']",['and']
MUSIC 473,Composition VII,[],[]
MUSIC 474,Composition VIII,[],[]
MUSIC 476W,B.A. Senior Project,[],[]
MUSIC 478,Vocal Literature,"['MUSIC 262', 'MUSIC 332']",['and']
MUSIC 480,Opera Literature,"['MUSIC 231', 'MUSIC 262']",['and']
MUSIC 481,Keyboard Literature,"['MUSIC 262', 'MUSIC 332']",['and']
MUSIC 483,Seminar in Voice Pedagogy,['MUSIC 418'],[]
MUSIC 485,Chamber Music Literature,"['MUSIC 262', 'MUSIC 332']",['and']
MUSIC 487,Orchestral Literature,"['MUSIC 262', 'MUSIC 332']",['and']
MUSIC 488,Studies in the Major Performance Area,[],[]
MUSIC 489,Studio and Recital Accompaniment,['MUSIC 194'],[]
MUSIC 491,Advanced Chamber Ensemble,"['MUSIC 190', 'MUSIC 191', 'MUSIC 192']","['or', 'or', 'and']"
MUSIC 493,Sonata Duos,['MUSIC 193'],[]
MUSIC 494,Research Topics,[],[]
MUSIC 494H,Research Topics,[],[]
MUSIC 495,Internship,[],[]
MUSIC 495A,Student Teaching: General Music,"['MUSIC 441W', 'MUSIC 442W', 'MUSIC 443W', 'MUSIC 444W', 'MUSIC 445W', 'MUSIC 446W']","['or', 'or', 'or', 'or', 'or']"
MUSIC 495B,Student Teaching: Choral Music,"['MUSIC 441W', 'MUSIC 442W', 'MUSIC 443W', 'MUSIC 444W', 'MUSIC 445W', 'MUSIC 446W']","['or', 'or', 'or', 'or', 'or']"
MUSIC 495C,Student Teaching: Instrumental Music,"['MUSIC 441W', 'MUSIC 442W', 'MUSIC 443W', 'MUSIC 444W', 'MUSIC 445W', 'MUSIC 446W']","['or', 'or', 'or', 'or', 'or']"
MUSIC 496,Independent Studies,[],[]
MUSIC 496H,Independent Studies - Honors,[],[]
MUSIC 497,Special Topics,[],[]
MUSIC 499,Foreign Studies,[],[]
BBH 48,Values and Health Behavior,[],[]
BBH 101,Introduction to Biobehavioral Health,[],[]
BBH 101H,Introduction to Biobehavioral Health,[],[]
BBH 102S,"Values, Health, & Academic Success",[],[]
BBH 119,"Behavior, Health, and Disease",[],[]
BBH 123S,First-Year Seminar in Biobehavioral Health,['PSU 14'],[]
BBH 130,Strategies for Addressing the Obesity and Diabetes Epidemics,[],[]
BBH 143,"Drugs, Behavior, and Health",[],[]
BBH 146,Introduction to Health and Human Sexuality,[],[]
BBH 148,Coping with College:  A First Year Transition Seminar,[],[]
BBH 150N,Safe and Sound: The Intersection of Criminal Justice and Public Health,['CRIMJ 150N'],[]
BBH 197,Special Topics,[],[]
BBH 199,Foreign Studies,[],[]
BBH 201N,Health and the Media,['ENGL 15'],[]
BBH 203,Neurological Bases of Human Behavior,['PSYCH 260'],[]
BBH 204,Methods in Neuroscience Research,[],[]
BBH 210,Biobehavioral Aspects of Genetics,"['BIOL 110', 'BIOL 161']",['or']
BBH 251,Straight Talks I: Advanced Sexual Orientation/Gender Identity Peer         Education,[],[]
BBH 296,Independent Studies,[],[]
BBH 297,Special Topics,[],[]
BBH 299,Foreign Studies,[],[]
BBH 301W,Values and Ethics in Biobehavioral Health Research and Practice,['BBH 101'],[]
BBH 302,Diversity and Health,"['BBH 101', 'SOC 1']",['or']
BBH 305,Introduction to Global Health Issues,['BBH 101'],[]
BBH 310,Research Strategies for Studying Biobehavioral Health,"['STAT 200', 'STAT 250', 'BBH 101']","['or', 'or', 'and']"
BBH 310H,Research Strategies for Studying Biobehavioral Health,"['BBH 101', 'STAT 200', 'STAT 250']","['or', 'and', 'or']"
BBH 311,Interdisciplinary Integration in Biobehavioral Health,"['BBH 101', 'BIOL 110', 'PSYCH 100', 'BBH 101', 'PSYCH 100']","['and', 'and', 'or', 'and']"
BBH 315,Gender and Biobehavioral Health,['BBH 101'],[]
BBH 316,Foundations and Principles of Health Promotion,"['BBH 101', 'BBH 101H']","['or', 'or']"
BBH 324,HealthWorks Peer Education Training,[],[]
BBH 325,Health Promotion Services Training,['PSYCH 100'],[]
BBH 330,Clinic Intern Training,[],[]
BBH 368,"Neuroanatomy, Behavior, and Health","['BBH 101', 'BISC 4', 'BIOL 141', 'BIOL 161', 'PSYCH 260']","['and', 'or', 'or', 'or']"
BBH 370,Environmental Health and Sustainability,"['BBH 101', 'BBH 316']",['and']
BBH 390A,Preparation for Global Health Field Experience,"['BBH 305', 'BBH 440', 'HPA 440']","['and', 'or', 'and']"
BBH 390B,Global Health Field Experience,['BBH 390A'],[]
BBH 397,Special Topics,[],[]
BBH 399,Foreign Studies,[],[]
BBH 402,African Health & Development,['BBH 305'],[]
BBH 407,Global Health Equity,['BBH 101'],[]
BBH 410,Developmental and Health Genetics,"['BBH 210', 'BIOL 222', 'STAT 200', 'STAT 250']","['or', 'and', 'or', 'or']"
BBH 411W,Research and Applications in Biobehavioral Health,"['BBH 101', 'BBH 310', 'STAT 200', 'STAT 250']","['or', 'and', 'and', 'or']"
BBH 416,"Health Promotion II:  Planning, Implementation, and Evaluation","['BBH 310', 'BBH 316']",['and']
BBH 420,Developing Stress Management Programs,[],[]
BBH 426,HealthWorks Peer Education Experience,"['BBH 324', 'BBH 325']",['or']
BBH 432,Biobehavioral Aspects of Stress,"['BBH 101', 'BBH 101H', 'BIOL 141', 'BIOL 161']","['or', 'and', 'or']"
BBH 440,Principles of Epidemiology,"['BBH 310', 'BIOL 230W', 'HPA 311', 'STAT 200', 'STAT 250']","['or', 'or', 'and', 'or', 'or']"
BBH 446,Human Sexuality as a Health Concern,['BBH 101'],[]
BBH 451,Pharmacological Influences on Health,"['BBH 101', 'PSYCH 100', 'BIOL 141', 'BIOL 161']","['and', 'and', 'or']"
BBH 452,Women's Health Issues,"['BIOL 141', 'PSYCH 100', 'WMNST 100']","['or', 'or']"
BBH 458,Critical Feminist Issues in Reproduction,"['WMNST 100', 'WMNST 100U', 'WMNST 105N', 'WMNST 106N', 'WMNST 106Q', 'PSYCH 100']","['or', 'or', 'or', 'or', 'or', 'or']"
BBH 468,Neuroanatomical Bases for Disorders of Behavior and Health,"['BBH 368', 'BBH 469', 'PSYCH 260']","['and', 'or']"
BBH 469,Neurobiology,"['BIOL 230W', 'BIOL 230M', 'BMB 251', 'BMB 251H', 'BIOL 240W', 'BIOL 240M']","['or', 'or', 'or', 'or', 'or']"
BBH 470,Functional and Integrative Neuroscience,['BIOL 469'],[]
BBH 471,Clinical Research Practice,"['BIOL 161', 'KINES 203', 'STAT 250', 'STAT 200']","['or', 'and', 'or', 'or']"
BBH 475H,Honors Biobehavioral Analysis of Addiction,"['BBH 203', 'PSYCH 260', 'BIOL 469']","['or', 'or', 'or', 'or']"
BBH 477,Sleep and Biobehavioral Health,"['BBH 101', 'BIOL 110', 'PSYCH 100', 'STAT 200', 'STAT 250', 'PSYCH 200']","['or', 'or', 'and', 'or', 'or']"
BBH 490,Introduction to Internship Experience,"['BBH 101H', 'BBH 101']","['or', 'or']"
BBH 494,Research Project,[],[]
BBH 494H,Senior Honors Thesis,[],[]
BBH 495,Internship Experience in Biobehavioral Health,['BBH 490'],[]
BBH 496,Independent Studies,[],[]
BBH 496H,Independent Honors Study in BB H,[],[]
BBH 497,Special Topics,[],[]
BBH 499,Foreign Studies,[],[]
GLIS 101N,Globalization,[],[]
GLIS 102N,Global Pathways,[],[]
GLIS 310,"Language Rights, Policy, and Planning","['AFR 310', 'APLNG 310']",[]
GLIS 400Y,Seminar in Global and International Studies,[],[]
GLIS 410,The Global Impact of Education,[],[]
GLIS 478,China and the World,"['PLSC 3', 'PLSC 14']","['or', 'or']"
GLIS 496,Independent Studies,[],[]
GLIS 497,Special Topics,[],[]
CIVCM 211N,Foundations: Civic and Community Engagement,"['ENGL 15', 'ENGL 30H', 'CAS 137H', 'ENGL 137H']","['or', 'or', 'or', 'or']"
CIVCM 494,Research Topics,[],[]
CIVCM 495,CIVCM Internship,[],[]
ART 1,Introduction to the Visual Arts,[],[]
ART 2,Interactive Learning and Web-Design,[],[]
ART 3,Visual Images on the Web,[],[]
ART 10,Introduction to Visual Studies,[],[]
ART 11,First-Year Seminar- School of Visual Arts,[],[]
ART 17,Introduction to Metal Arts,[],[]
ART 20,Introduction to Drawing,[],[]
ART 30,Introduction to Sculpture,[],[]
ART 40,Introduction to Printmaking,[],[]
ART 50,Introduction to Painting,[],[]
ART 51N,Meteorology and Visual Arts: To Know is to See,['METEO 51N'],[]
ART 80,Introduction to Ceramics,[],[]
ART 97,Special Topics,[],[]
ART 98,Special Topics,[],[]
ART 100,Concepts and Creation in the Visual Arts,[],[]
ART 101,Introduction to Web Design,[],[]
ART 102,Beginning Computer Aided Design for Artists,[],[]
ART 110,Ideas as Visual Images,[],[]
ART 111,Ideas as Objects,[],[]
ART 116N,Art of Mathematics,[],[]
ART 122Y,Commentary on Art,[],[]
ART 144,"Climate Change: Arts, Agency and Activism",[],[]
ART 160N,"STEAM: Connecting Art to Science, Technology, Engineering and Mathematics",[],[]
ART 165,Artistic Concepts of Space,[],[]
ART 166,Artistic Concepts of Form,[],[]
ART 168,The Digital Medium,[],[]
ART 170N,Plant and Microbial Art,['PPEM 170N'],[]
ART 175N,Intersections Between Art and Psychology,[],[]
ART 197,Special Topics,[],[]
ART 198,Special Topics,[],[]
ART 199,Foreign Studies--Art,[],[]
ART 207N,"LGBTQ+ Identity, Culture and The Arts",['WMNST 207N'],[]
ART 211,Introduction to Digital Art and Design Criticism,[],[]
ART 211Y,Introduction to Digital Art and Design Criticism,[],[]
ART 220,Figure Drawing,"['ART 110', 'ART 111']",['or']
ART 223,"Drawing: Techniques, Materials, and Tools","['ART 110', 'ART 111']",['or']
ART 230,Beginning Sculpture,"['ART 110', 'ART 111']",['or']
ART 240,Beginning Printmaking,"['ART 110', 'ART 111']",['or']
ART 250,Beginning Oil Painting,"['ART 110', 'ART 111']",['or']
ART 260,Water Media,[],[]
ART 265,Artistic Concepts of Color,"['ART 165', 'ART 166']",['and']
ART 266,Artistic Concepts of Light,"['ART 165', 'ART 166']",['and']
ART 269,Methods and Materials I,"['ART 165', 'ART 166']",['and']
ART 280,Beginning Ceramics,"['ART 110', 'ART 111', 'ART 110', 'ART 111']","['or', 'or']"
ART 290,Beginning Photography,[],[]
ART 296,Independent Studies,[],[]
ART 297,Special Topics,[],[]
ART 297N,Special Topics - GenEd,[],[]
ART 299,Foreign Study--Art,[],[]
ART 320,Advanced Drawing,['ART 110'],[]
ART 330,Intermediate Sculpture: Metal Fabrication and Mixed-media,['ART 230'],[]
ART 331,Intermediate Sculpture: Metal Casting and Mold-Making,['ART 230'],[]
ART 340,Printmaking,['ART 240'],[]
ART 341,Intermediate Printmaking:  Intaglio/Relief,['ART 240'],[]
ART 342,Intermediate Printmaking:  Lithography/Serigraphy,['ART 240'],[]
ART 350,Intermediate Painting,['ART 250'],[]
ART 365,Themes and Issues I,"['ART 165', 'ART 166', 'ART 265', 'ART 266']","['and', 'and', 'and']"
ART 366,Themes and Issues II,"['ART 165', 'ART 166', 'ART 265', 'ART 266', 'ART 365']","['and', 'and', 'and', 'and']"
ART 380,Intermediate Throwing,['ART 280'],[]
ART 381,Intermediate Handbuilding,['ART 280'],[]
ART 397,Special Topics,[],[]
ART 399,Foreign Study--Art,[],[]
ART 404,Art and Life: Where They Intersect,[],[]
ART 409,Museum Studies,['ARTH 409'],[]
ART 411,Seminar in Contemporary Art,['ART 122Y'],[]
ART 413,Performance Art,[],[]
ART 421,Drawing,['ART 320'],[]
ART 422,Advanced Figure Drawing,['ART 220'],[]
ART 430,Advanced Sculpture,['ART 230'],[]
ART 431,Installation Art,[],[]
ART 432,Flexible Molds: Parting Seams and Sculptural Concepts,"['ART 230', 'ART 280']","['or', 'or']"
ART 433,Sustainable Studio,"['ART 110', 'ART 111']","['and', 'or']"
ART 434,Found and Fabricated: Found Objects in Sculpture,['ART 111'],[]
ART 438,The Body: Issues and Objects,['ART 230'],[]
ART 440,Advanced Printmaking,['ART 240'],[]
ART 446,Artists Books,"['ART 110', 'ART 111', 'ARTH 111', 'ARTH 112']","['and', 'and', 'and', 'and', 'or']"
ART 450,Advanced Painting,['ART 350'],[]
ART 455,Advanced Painting Critique,['ART 350'],[]
ART 465,Individual Approaches I,"['ART 165', 'ART 166', 'ART 265', 'ART 266', 'ART 365', 'ART 366']","['and', 'and', 'and', 'and', 'and']"
ART 466W,Individual Approaches II,['ART 240'],[]
ART 468,The Intermediate Digital Medium,"['ART 165', 'ART 166', 'ART 168']","['and', 'and']"
ART 469,Methods and Materials II,"['ART 165', 'ART 166', 'ART 265', 'ART 269']","['and', 'and', 'and']"
ART 476,History and Theory of Digital Art,[],[]
ART 477,Curator's Workshop,[],[]
ART 480,Advanced Ceramic Arts,['ART 280'],[]
ART 494,Research Projects Courses,[],[]
ART 495,Internship,[],[]
ART 496,Independent Studies,[],[]
ART 496H,Independent Studies,[],[]
ART 497,Special Topics,[],[]
ART 499,Foreign Studies--Art,[],[]
BIOL 1,Preparation Skills for Success in Biology and Life Sciences,[],[]
BIOL 3,Peer Learning in Biology,[],[]
BIOL 11,Introductory Biology I,[],[]
BIOL 12,Introductory Biology II,['BIOL 11'],[]
BIOL 110,Biology:  Basic Concepts and Biodiversity,[],[]
BIOL 110H,Honors Biology: Basic Concepts and Biodiversity,[],[]
BIOL 110S,Biology:  Basic Concepts and Biodiversity,[],[]
BIOL 127,Introduction to Plant Biology,[],[]
BIOL 128,Investigations in Anatomy with Cadavers,[],[]
BIOL 129,Mammalian Anatomy,[],[]
BIOL 133,Genetics and Evolution of the Human Species,[],[]
BIOL 141,Introduction to Human Physiology,[],[]
BIOL 142,Physiology Laboratory,['BIOL 141'],[]
BIOL 144,Climate Change: Biological Impacts,[],[]
BIOL 155,Introduction to the Biology of Aging,[],[]
BIOL 160N,Fitness with Exercise Physiology,['KINES 160N'],[]
BIOL 161,Human Anatomy and Physiology I - Lecture,[],[]
BIOL 162,Human Anatomy and Physiology I - Laboratory,"['BIOL 161', 'BIOL 141']",['or']
BIOL 163,Human Anatomy and Physiology II - Lecture,['BIOL 161'],[]
BIOL 164,Human Anatomy and Physiology II - Laboratory,"['BIOL 163', 'BIOL 141']",['or']
BIOL 169N,What it means to be human,['PSYCH 169N'],[]
BIOL 177,Biology of Sex,[],[]
BIOL 199,Foreign Studies,[],[]
BIOL 220M,Honors Biology: Populations and Communities,"['BIOL 110', 'BIOL 110H']",['or']
BIOL 220W,Biology:  Populations and Communities,"['BIOL 110', 'BIOL 110H']",['or']
BIOL 222,Genetics,"['BIOL 110', 'BIOL 110H', 'MICRB 201', 'MICRB 201H', 'BIOL 141', 'BIOL 133', 'BMB 251', 'BMB 251H']","['or', 'or', 'or', 'or', 'or', 'or', 'or']"
BIOL 230M,Honors Biology: Molecules and Cells,"['BIOL 110H', 'BIOL 110']",['or']
BIOL 230W,Biology:  Molecules and Cells,"['BIOL 110', 'BIOL 110H', 'CHEM 110']",['or']
BIOL 240M,Honors Biology: Function and Development of Organisms,"['BIOL 110H', 'BIOL 110']",['or']
BIOL 240W,Biology:  Function and Development of Organisms,"['BIOL 110', 'BIOL 110H', 'CHEM 110', 'CHEM 110H']","['or', 'and', 'or']"
BIOL 251,Peer Leadership in Biology,[],[]
BIOL 261,Reading Seminar in the Health Professions,[],[]
BIOL 294,Research Project,[],[]
BIOL 296,Independent Studies,[],[]
BIOL 296G,Special Topics,[],[]
BIOL 296H,Independent Studies,[],[]
BIOL 297,Special Topics,[],[]
BIOL 322,Genetic Analysis,"['BIOL 230W', 'BIOL 230M', 'MICRB 251', 'BMB 251', 'BMB 251H', 'BME 201']","['or', 'or', 'or', 'or', 'or']"
BIOL 399,Foreign Studies,[],[]
BIOL 400,Teaching in Biology,[],[]
BIOL 402W,Biological Experimental Design,"['STAT 250', 'BIOL 220W', 'BIOL 230W', 'BIOL 240W']","['and', 'and', 'and']"
BIOL 403,Biological Writing and Communication for Research,"['BIOL 110', 'BIOL 110H', 'MICRB 201', 'MICRB 201H', 'BMB 251', 'BMB 251H', 'STAT 200', 'STAT 250', 'ENGL 15', 'ENGL 137H', 'CAS 137H', 'ENGL 30H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'and', 'or', 'or', 'or']"
BIOL 404,Cellular Mechanisms in Vertebrate Physiology,"['BIOL 230W', 'BIOL 230M', 'BMB 251', 'BMB 251H']","['or', 'or', 'or']"
BIOL 405,Molecular Evolution,"['BIOL 220W', 'BIOL 220M', 'BIOL 230W', 'BIOL 230M', 'BMB 251', 'BMB 251H', 'BIOL 222', 'BIOL 322']","['or', 'and', 'or', 'or', 'or', 'or', 'or']"
BIOL 406,Symbiosis,"['BIOL 220W', 'BIOL 220M', 'BIOL 230W', 'BIOL 230M', 'BIOL 240W', 'BIOL 240M', 'BMB 251', 'BMB 251H']","['or', 'or', 'or', 'or', 'or', 'or', 'or']"
BIOL 407,Plant Developmental Anatomy,"['BIOL 240W', 'BIOL 240M', 'BIOL 127']","['or', 'or']"
